capcode,regio,discipline,plaats,omschrijving
000100111,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,Amstelveen
000100112,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,Amstelveen
000100113,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100114,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100115,Amsterdam-Amstelland,Brandweer,Amstelveen,Bemanning Tankautospuit / Waterongevallenvoertuig
000100116,Amsterdam-Amstelland,Brandweer,Amstelveen,Springbemanning
000100117,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100118,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,Amstelveen
000100119,Amsterdam-Amstelland,Brandweer,Amstelveen,Lichtkrant Kazerne
000100120,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,Amstelveen
000100121,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,Amstelveen
000100122,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,Amstelveen
000100123,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100124,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100125,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100126,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100127,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100128,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100129,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100130,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100131,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,Amstelveen
000100132,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100133,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100134,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100135,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100136,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100137,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100138,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100139,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100140,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100141,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100142,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100143,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100144,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100145,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100146,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100147,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100148,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100149,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100150,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100151,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100152,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100153,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100154,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100155,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100156,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100157,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100158,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100159,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100160,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100161,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100162,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100163,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100164,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100165,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100166,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100167,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100168,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100169,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100170,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100171,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100172,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100173,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100174,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100175,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100176,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100177,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100178,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100179,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100180,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100181,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,Amstelveen
000100182,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100183,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100184,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100185,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100186,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100187,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100188,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100189,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100190,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100191,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,Amstelveen
000100192,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,Amstelveen
000100193,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,Amstelveen
000100194,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100195,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100196,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100197,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100198,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100199,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100200,Amsterdam-Amstelland,Brandweer,Amstelveen,BvD Beroeps
000100201,Amsterdam-Amstelland,Brandweer,Amstelveen,TS/WO
000100202,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100203,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100204,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100205,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100206,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100207,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100208,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100209,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100210,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,Anton
000100211,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,Anton
000100212,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,Anton
000100213,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100214,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100215,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100216,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100217,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100218,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100219,Amsterdam-Amstelland,Brandweer,Amstelveen,Lichtkrant Beroeps
000100220,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100221,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100222,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100223,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100224,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100225,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100226,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100227,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100228,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100229,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100230,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100231,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100232,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100233,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100234,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100235,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100236,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100237,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100238,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100239,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100240,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100241,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100242,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100243,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100244,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100245,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100246,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100247,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100248,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100249,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100250,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100251,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100252,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100253,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100254,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100255,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100256,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100257,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100258,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100259,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100260,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100261,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100262,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100263,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100264,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100265,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100266,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100267,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100268,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100269,Amsterdam-Amstelland,Brandweer,Amsterdam-Anton,Kazernealarm
000100270,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100271,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100272,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100273,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100274,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100275,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100276,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100277,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100278,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100279,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
